,departuretime,callsign,company,destinationairport,actype,registration,stand,route
,10:45:00,KLM90Z,KLM,EHAM,B738,PHHSD,122,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UL976 RONAX UN873 BELDI UY473 LUMIL UY873 DENUT
,13:55:00,TAP662B,TAP Air Portugal,EHAM,A319,CSTTC,117,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UL976 RONAX UN873 BELDI UY473 LUMIL UY873 DENUT
,14:35:00,KLM26V,KLM,EHAM,B737,PHBGF,115,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UL976 RONAX UN873 BELDI UY473 LUMIL UY873 DENUT
,9:35:00,TRA204N,Transavia,EHEH,B737,PHXRA,206,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UL976 RONAX UN873 HELEN
,9:00:00,RYR80PN,Ryanair,EIDW,B738,EIEVC,200,INBOM DCT PINEK DCT KORUL UP620 LND UN18 PEMOB M17 VATRY
,10:20:00,EIN48P,Aer Lingus,EIDW,A320,EIDEB,805,INBOM DCT PINEK DCT KORUL UP620 LND UN18 PEMOB M17 VATRY
,10:35:00,NAX7RH,Norwegian Air Shuttle,ENGM,B738,LNDYZ,209,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UL976 RONAX UN873 SPY UZ704 AMADA Z704 PIPEX M609 RIPAM
,13:05:00,TAP1260,TAP Air Portugal,EPWA,A319,CSTTS,802,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 GAMSA DCT BADVI UN871 BEPAS T709 KOTEK M866 LOGDA
,16:55:00,SAS2904,Scandinavian Airlines,ESSA,B738,LNRGC,122,IXIDA DCT TOSDI UN745 ZMR UN873 DESAB UN867 MOKOR UN873 OBATO UL976 RONAX UN873 TOLEN DCT JUIST UP729 DOSUR DCT MIKNA N851 PELUP Z226 NILUG
,10:00:00,DTA651,TAAG Angola Airlines,FNLU,B77W,D2TEK,146,TROIA DCT AMSEL UR722 MABAP UB11 MAK UJ744 BAGBO UM629 KELEX UR984 LAG UR603 STM UA400 KODOR
,12:45:00,TAP287,TAP Air Portugal,FNLU,A343,CSTOB,504,TROIA DCT AMSEL UR722 MABAP UB11 MAK UJ744 BAGBO UM629 KELEX UR984 LAG UR603 STM UA400 KODOR
,9:35:00,TAP1116,TAP Air Portugal,GCLP,A319,CSTTA,117,LIGRA UN872 BEXAL DCT SAMAR
,12:55:00,TAP1428,TAP Air Portugal,GMFF,AT72,CSDJB,704,TROIA DCT ORTOP UN726 BAMBA UA621 TNG W240 FES
,12:05:00,HAT5250,Air Horizont,GMFO,B734,9HZAZ,806,GAIOS DCT LASIB UM744 MGA UN493 BERUM W700 DIGEX
,16:40:00,PVG5667,Privilige Style,GMFO,A320,CSTRO,802,GAIOS DCT LASIB UM744 MGA UN493 BERUM W700 DIGEX
,12:55:00,RAM983,Royal Air Maroc,GMMN,B738,CNRNP,142,TROIA DCT AMSEL UR722 LAKAM
,13:15:00,TAP1434,TAP Air Portugal,GMMN,E190,CSTPP,804,TROIA DCT AMSEL UR722 LAKAM
,16:00:00,RAM981E,Royal Air Maroc,GMMN,B738,CNRGF,147,TROIA DCT AMSEL UR722 LAKAM
,13:10:00,TAP1450,TAP Air Portugal,GMMX,E195,CSTTZ,147,TROIA DCT AMSEL UR722 SAK W900 SLK UZ801 VALBA UG850 OBOGA
,16:30:00,TCV601,Cabo Verde Airlines,GVAC,B763,D4CCF,141,LIGRA UN872 BEXAL DCT SAMAR UN873 IPERA B623 PISPU
,14:05:00,TAP9014,TAP Air Portugal,GVBA,A320,CSTNY,225,LIGRA UN872 BEXAL DCT SAMAR UN873 IPERA B623 PISPU
,9:00:00,DAL123,Delta,KATL,B763,N199DN,502,BUSEN UZ21 GUNTI DCT 40N020W 41N030W 41N040W 41N050W 39N060W 38N070W DCT CROAK AR9 ORF DCT RDU DCT SPA WHINZ4
,9:55:00,TAP217B,TAP Air Portugal,KBOS,A332,CSTOL,145,BUSEN DCT ERPES DCT 42N020W 44N030W 45N035W 47N040W 47N050W DCT PORTI N180A ALLEX Q822 AJJAY OOSHN5
,9:25:00,UAL65,United Airlines,KEWR,B763,N653UA,141,BUSEN DCT ERPES DCT 42N020W 44N030W 45N035W 47N040W 47N050W DCT PORTI N174B TUSKY J575 BOS DCT PWL V93 IGN SHAFF7
,11:55:00,TAP201B,TAP Air Portugal,KEWR,A333,CSTOW,505,BUSEN DCT ERPES DCT 42N020W 44N030W 45N035W 47N040W 47N050W DCT PORTI N174B TUSKY J575 BOS DCT PWL V93 IGN SHAFF7
,11:15:00,UAL167,United Airlines,KIAD,B752,N17105,147,BUSEN DCT ERPES DCT 42N020W 44N030W 45N035W 47N040W 47N050W DCT PORTI N180A ALLEX Q822 ENE Q480 BAF HYPER7
,10:45:00,DAL273,Delta,KJFK,B752,N703TW,142,BUSEN DCT ERPES DCT 42N020W 44N030W 45N035W 47N040W 46N050W DCT SUPRY N114E BRADD DCT PLYMM PARCH3
,16:10:00,TAP209,TAP Air Portugal,KJFK,A332,CSTOP,144,BUSEN DCT ERPES DCT 42N020W 44N030W 45N035W 47N040W 46N050W DCT SUPRY N114E BRADD DCT PLYMM PARCH3
